DAP,RTP,DA_Charge,DA_Discharge,SoC
51.9,24.298333333333332,0.0,0.5,0.0
42.59,39.24,0.0,0.0,0.0
37.05,61.15416666666667,0.5,0.0,0.5
30.18,29.965833333333336,0.5,0.0,1.0
29.62,19.251666666666665,0.0,0.5,0.5
26.93,27.741249999999997,0.5,0.0,1.0
23.8,20.387500000000003,0.0,0.5,0.5
18.68,21.10666666666667,0.5,0.0,1.0
18.48,16.348333333333333,0.0,0.0,1.0
18.75,8.733333333333333,0.0,0.5,0.5
18.87,20.46916666666667,0.5,0.0,1.0
21.34,15.27166666666667,0.0,0.0,1.0
21.2,11.9325,0.0,0.0,1.0
24.65,2.5091666666666668,0.0,0.5,0.5
26.45,1.2750000000000001,0.0,0.5,0.0
28.32,9.792499999999999,0.0,0.0,0.0
28.53,19.8,0.5,0.0,0.5
27.93,15.149999999999999,0.5,0.0,1.0
27.6,4.159166666666667,0.0,0.5,0.5
29.0,3.401666666666667,0.0,0.5,0.0
29.72,10.739166666666668,0.0,0.0,0.0
38.91,32.410000000000004,0.5,0.0,0.5
47.54,29.866666666666664,0.5,0.0,1.0
49.67,29.486666666666665,0.0,0.5,0.5
42.38,25.64333333333333,0.0,0.5,0.0
38.24,25.273333333333337,0.5,0.0,0.5
35.7,16.938333333333336,0.0,0.5,0.0
29.13,13.193333333333333,0.0,0.0,0.0
26.95,12.619166666666665,0.5,0.0,0.5
25.96,8.84,0.0,0.5,0.0
23.0,15.408333333333339,0.5,0.0,0.5
22.13,5.346666666666667,0.0,0.5,0.0
21.71,6.745,0.5,0.0,0.5
22.22,6.385833333333333,0.0,0.5,0.0
26.92,11.899166666666666,0.5,0.0,0.5
35.66,19.96833333333333,0.0,0.5,0.0
39.61,27.676666666666666,0.5,0.0,0.5
39.0,30.880000000000006,0.5,0.0,1.0
38.4,26.093333333333334,0.0,0.5,0.5
39.52,30.763333333333332,0.5,0.0,1.0
38.85,23.333333333333332,0.0,0.5,0.5
38.14,22.039166666666663,0.0,0.5,0.0
