DAP,RTP,DA_Charge,DA_Discharge,SoC
19.63,6.295833333333334,0.0,0.5,0.0
18.81,6.256666666666664,0.0,0.0,0.0
18.49,8.360833333333334,0.5,0.0,0.5
16.09,-2.400833333333333,0.0,0.5,0.0
16.01,7.178333333333335,0.0,0.0,0.0
9.93,2.3241666666666667,0.0,0.0,0.0
9.95,9.695833333333335,0.5,0.0,0.5
9.19,13.143333333333333,0.5,0.0,1.0
9.23,1.1425,0.0,0.5,0.5
9.11,5.338333333333334,0.0,0.5,0.0
9.05,18.0825,0.5,0.0,0.5
9.92,13.4375,0.5,0.0,1.0
10.01,-1.6875,0.0,0.5,0.5
12.58,2.124166666666667,0.0,0.0,0.5
15.91,1.0658333333333332,0.0,0.5,0.0
15.86,8.1925,0.5,0.0,0.5
17.13,8.269166666666665,0.0,0.0,0.5
16.05,12.550833333333332,0.5,0.0,1.0
15.64,3.5075,0.0,0.5,0.5
15.78,2.885,0.0,0.5,0.0
15.96,9.068333333333335,0.0,0.0,0.0
18.2,13.1975,0.0,0.0,0.0
22.24,20.684166666666666,0.0,0.0,0.0
23.71,24.900833333333335,0.5,0.0,0.5
24.23,21.735,0.0,0.0,0.5
22.82,21.534166666666664,0.5,0.0,1.0
20.81,14.512500000000001,0.0,0.5,0.5
16.71,11.402500000000003,0.5,0.0,1.0
17.29,10.9475,0.0,0.0,1.0
20.58,7.700833333333333,0.0,0.5,0.5
19.45,12.484166666666665,0.5,0.0,1.0
18.77,4.7058333333333335,0.0,0.5,0.5
18.54,5.984999999999999,0.0,0.0,0.5
18.72,5.640000000000001,0.0,0.5,0.0
21.22,9.006666666666668,0.0,0.0,0.0
28.34,17.044166666666666,0.0,0.0,0.0
28.58,23.962499999999995,0.5,0.0,0.5
30.33,26.627499999999998,0.5,0.0,1.0
30.32,22.555000000000003,0.0,0.5,0.5
29.19,23.083333333333332,0.5,0.0,1.0
28.45,19.40833333333333,0.0,0.5,0.5
26.97,19.353333333333335,0.0,0.5,0.0
26.4,21.6725,0.0,0.0,0.0
25.93,25.27916666666667,0.0,0.0,0.0
25.98,27.209166666666672,0.5,0.0,0.5
32.6,28.132083333333338,0.0,0.5,0.0
44.93,67.24083333333333,0.5,0.0,0.5
41.4,55.940000000000005,0.5,0.0,1.0
34.73,27.915833333333335,0.0,0.5,0.0
29.72,25.836666666666662,0.0,0.0,0.0
25.93,22.4275,0.0,0.0,0.0
18.24,16.583333333333332,0.5,0.0,0.5
19.51,11.359166666666667,0.0,0.5,0.0
16.14,21.19666666666667,0.0,0.0,0.0
15.73,21.61,0.5,0.0,0.5
15.08,20.683333333333334,0.5,0.0,1.0
15.06,20.164166666666667,0.0,0.0,1.0
16.16,16.583333333333336,0.0,0.5,0.5
16.14,17.279999999999998,0.5,0.0,1.0
26.95,15.771666666666668,0.0,0.5,0.5
29.11,21.257499999999997,0.0,0.5,0.0
29.9,26.048333333333336,0.0,0.0,0.0
29.61,26.549166666666665,0.5,0.0,0.5
27.67,24.312499999999996,0.0,0.0,0.5
27.37,22.635833333333327,0.0,0.5,0.0
24.87,22.635,0.0,0.0,0.0
22.26,21.674166666666665,0.5,0.0,0.5
20.88,21.070833333333336,0.5,0.0,1.0
22.33,21.013333333333332,0.0,0.0,1.0
30.81,26.24666666666667,0.0,0.5,0.5
41.92,25.24166666666667,0.0,0.5,0.0
30.1,30.955833333333334,0.5,0.0,0.5
27.73,22.13416666666667,0.0,0.5,0.0
25.54,20.809166666666666,0.0,0.0,0.0
21.48,20.148333333333337,0.0,0.0,0.0
13.0,19.19666666666667,0.5,0.0,0.5
16.09,16.0475,0.0,0.5,0.0
11.81,17.8,0.0,0.0,0.0
9.91,17.691666666666666,0.5,0.0,0.5
9.89,16.028333333333332,0.5,0.0,1.0
9.88,5.435,0.0,0.5,0.5
9.85,19.043333333333337,0.5,0.0,1.0
9.83,10.920000000000002,0.0,0.0,1.0
11.94,12.244166666666667,0.0,0.5,0.5
11.91,9.8475,0.0,0.5,0.0
13.08,19.250000000000004,0.5,0.0,0.5
13.15,19.031666666666666,0.5,0.0,1.0
12.78,18.175833333333333,0.0,0.5,0.5
11.83,18.020833333333336,0.5,0.0,1.0
