DAP,RTP,DA_Charge,DA_Discharge,SoC
34.69,24.044999999999998,0.0,0.5,0.0
29.35,22.299166666666668,0.0,0.0,0.0
26.84,23.119166666666672,0.0,0.0,0.0
26.06,28.07166666666667,0.5,0.0,0.5
25.2,19.0425,0.0,0.5,0.0
25.57,27.69,0.5,0.0,0.5
22.2,20.23166666666667,0.0,0.0,0.5
18.5,20.855,0.5,0.0,1.0
18.32,16.322499999999998,0.0,0.0,1.0
18.56,8.603333333333333,0.0,0.5,0.5
18.7,20.108333333333338,0.5,0.0,1.0
21.14,14.9325,0.0,0.0,1.0
21.2,11.955,0.0,0.0,1.0
23.19,2.4616666666666664,0.0,0.5,0.5
24.99,1.2425,0.0,0.5,0.0
26.48,9.533333333333331,0.0,0.0,0.0
26.49,19.496666666666666,0.5,0.0,0.5
25.83,14.700833333333334,0.5,0.0,1.0
25.54,4.059166666666667,0.0,0.5,0.5
27.38,3.311666666666667,0.0,0.5,0.0
27.83,10.398333333333333,0.0,0.0,0.0
31.34,15.256666666666666,0.0,0.0,0.0
36.29,24.076666666666664,0.0,0.0,0.0
33.93,28.54416666666667,0.5,0.0,0.5
33.6,24.859166666666663,0.0,0.0,0.5
32.41,24.53833333333333,0.5,0.0,1.0
29.38,16.407500000000002,0.0,0.0,1.0
27.11,12.801666666666664,0.0,0.5,0.5
25.03,12.32333333333333,0.5,0.0,1.0
25.29,8.6525,0.0,0.5,0.5
22.53,15.132499999999999,0.5,0.0,1.0
21.67,5.2508333333333335,0.0,0.5,0.5
21.27,6.635000000000001,0.0,0.0,0.5
21.69,6.258333333333333,0.0,0.5,0.0
26.11,11.686666666666667,0.0,0.0,0.0
32.19,19.418333333333337,0.5,0.0,0.5
35.07,26.789999999999996,0.5,0.0,1.0
35.65,6.756666666666667,0.0,0.5,0.5
34.99,11.597499999999998,0.0,0.5,0.0
33.77,20.712500000000002,0.5,0.0,0.5
32.93,15.376666666666667,0.0,0.5,0.0
31.59,19.159166666666668,0.0,0.0,0.0
30.8,22.633333333333336,0.0,0.0,0.0
31.02,27.91416666666666,0.5,0.0,0.5
32.31,26.360833333333336,0.0,0.0,0.5
40.13,31.50333333333333,0.0,0.5,0.0
51.31,72.56166666666667,0.5,0.0,0.5
47.23,61.0075,0.5,0.0,1.0
42.45,30.645833333333332,0.0,0.5,0.0
36.69,27.903333333333332,0.0,0.0,0.0
33.52,25.453749999999996,0.0,0.0,0.0
30.41,26.68583333333333,0.5,0.0,0.5
28.0,22.669999999999998,0.0,0.5,0.0
26.44,27.53583333333333,0.5,0.0,0.5
24.11,24.090833333333336,0.0,0.5,0.0
22.78,23.293333333333333,0.5,0.0,0.5
22.14,22.2325,0.5,0.0,1.0
23.16,19.49083333333333,0.0,0.5,0.5
25.33,22.272499999999997,0.5,0.0,1.0
31.13,24.158333333333335,0.0,0.0,1.0
34.32,-11.239166666666668,0.0,0.5,0.5
35.41,13.66916666666667,0.0,0.5,0.0
34.66,22.08666666666667,0.5,0.0,0.5
33.94,16.994999999999994,0.0,0.5,0.0
32.86,24.34,0.0,0.0,0.0
30.83,23.522499999999997,0.0,0.0,0.0
30.04,24.860833333333332,0.5,0.0,0.5
29.6,24.151666666666667,0.5,0.0,1.0
30.33,1.761666666666665,0.0,0.5,0.5
37.91,0.5224999999999994,0.0,0.5,0.0
48.61,28.601666666666674,0.5,0.0,0.5
45.77,17.362499999999997,0.0,0.0,0.5
41.84,25.759999999999994,0.0,0.5,0.0
36.9,24.56916666666667,0.0,0.0,0.0
33.53,23.112499999999997,0.0,0.0,0.0
