DAP,RTP,DA_Charge,DA_Discharge,SoC
22.58,8.985000000000001,0.0,0.5,0.0
20.92,8.637500000000001,0.0,0.0,0.0
20.15,10.395000000000001,0.5,0.0,0.5
17.61,2.5558333333333327,0.0,0.5,0.0
17.3,8.799999999999999,0.0,0.0,0.0
11.83,6.3308333333333335,0.0,0.0,0.0
11.35,11.0,0.5,0.0,0.5
10.48,13.858333333333334,0.5,0.0,1.0
10.48,3.5849999999999995,0.0,0.5,0.5
10.47,5.800833333333334,0.0,0.5,0.0
10.48,17.615833333333335,0.5,0.0,0.5
11.72,13.1925,0.5,0.0,1.0
11.83,0.5174999999999997,0.0,0.0,1.0
14.33,2.2741666666666664,0.0,0.5,0.5
17.54,1.15,0.0,0.5,0.0
17.67,9.493333333333332,0.5,0.0,0.5
19.08,10.247499999999999,0.0,0.0,0.5
17.71,13.2825,0.5,0.0,1.0
17.2,3.747499999999999,0.0,0.5,0.5
17.19,3.0766666666666675,0.0,0.5,0.0
17.81,9.559166666666668,0.0,0.0,0.0
20.53,15.393333333333333,0.0,0.0,0.0
25.61,25.8475,0.5,0.0,0.5
26.31,47.035833333333336,0.5,0.0,1.0
26.18,76.28666666666668,0.5,0.0,1.0
24.6,58.4025,0.0,0.0,1.0
22.5,33.93500000000001,0.0,0.0,1.0
18.41,20.14166666666667,0.0,0.0,1.0
18.87,11.404166666666667,0.0,0.0,1.0
22.39,10.974166666666669,0.0,0.5,0.5
20.94,17.538333333333338,0.5,0.0,1.0
20.17,4.987500000000001,0.0,0.5,0.5
19.72,6.245833333333334,0.0,0.0,0.5
19.94,5.869166666666666,0.0,0.5,0.0
22.88,9.623333333333333,0.0,0.0,0.0
30.22,17.664166666666667,0.0,0.0,0.0
30.85,25.999999999999996,0.5,0.0,0.5
32.18,27.297500000000003,0.5,0.0,1.0
31.96,23.086666666666662,0.0,0.5,0.5
30.86,23.701666666666668,0.0,0.0,0.5
30.0,19.90083333333333,0.0,0.5,0.0
28.12,29.665000000000006,0.0,0.0,0.0
27.66,36.915,0.0,0.0,0.0
27.19,43.54333333333333,0.5,0.0,0.5
27.4,41.0575,0.5,0.0,1.0
34.4,35.92458333333333,0.0,0.5,0.5
46.8,66.79083333333334,0.5,0.0,1.0
42.77,55.53083333333334,0.0,0.0,1.0
36.32,31.236666666666668,0.5,0.0,1.0
31.45,25.7775,0.0,0.5,0.5
27.89,22.745416666666667,0.0,0.5,0.0
21.0,24.46041666666666,0.5,0.0,0.5
21.84,13.086666666666666,0.0,0.5,0.0
18.27,21.75,0.0,0.0,0.0
17.3,21.412499999999998,0.5,0.0,0.5
16.47,20.23416666666667,0.5,0.0,1.0
16.35,19.690833333333334,0.0,0.0,1.0
17.56,16.424166666666668,0.0,0.5,0.5
18.23,17.587500000000002,0.5,0.0,1.0
29.04,16.951666666666668,0.0,0.5,0.5
30.93,21.974166666666665,0.0,0.5,0.0
31.58,26.133333333333336,0.0,0.0,0.0
31.07,32.49,0.5,0.0,0.5
29.49,24.47333333333333,0.0,0.0,0.5
29.03,23.0125,0.0,0.5,0.0
26.55,22.854166666666668,0.0,0.0,0.0
24.26,21.724166666666665,0.5,0.0,0.5
22.85,21.64083333333333,0.5,0.0,1.0
24.36,21.076666666666668,0.0,0.0,1.0
31.99,28.4225,0.0,0.5,0.5
43.36,25.925,0.0,0.5,0.0
34.1,30.953333333333333,0.5,0.0,0.5
31.55,30.799999999999997,0.5,0.0,1.0
28.63,24.676666666666662,0.0,0.5,0.5
27.11,25.854166666666668,0.5,0.0,1.0
22.21,19.1725,0.0,0.5,0.5
18.85,16.4975,0.0,0.5,0.0
14.01,17.680833333333332,0.0,0.0,0.0
12.06,17.89333333333333,0.5,0.0,0.5
11.86,16.37,0.5,0.0,1.0
11.73,8.125,0.0,0.5,0.5
11.97,19.765833333333333,0.5,0.0,1.0
12.53,12.576666666666666,0.0,0.0,1.0
20.77,14.1325,0.0,0.5,0.5
23.06,12.218333333333334,0.0,0.5,0.0
21.64,20.351666666666667,0.5,0.0,0.5
24.03,19.642500000000002,0.0,0.5,0.0
22.45,18.8525,0.5,0.0,0.5
23.17,18.624166666666667,0.0,0.5,0.0
21.44,18.526666666666667,0.0,0.0,0.0
20.51,18.0825,0.0,0.0,0.0
20.07,18.180000000000003,0.5,0.0,0.5
19.87,21.2925,0.5,0.0,1.0
25.64,23.337499999999995,0.0,0.0,1.0
32.04,27.803333333333338,0.0,0.0,1.0
30.32,19.664999999999996,0.0,0.5,0.5
28.45,18.22,0.0,0.5,0.0
23.91,20.586666666666662,0.0,0.0,0.0
22.62,20.399166666666666,0.0,0.0,0.0
18.87,24.456666666666667,0.5,0.0,0.5
18.52,19.386666666666667,0.0,0.5,0.0
17.49,18.813333333333333,0.0,0.0,0.0
15.66,19.860000000000003,0.5,0.0,0.5
14.64,10.541666666666666,0.0,0.5,0.0
13.58,18.431249999999995,0.5,0.0,0.5
14.91,19.062499999999996,0.5,0.0,1.0
15.27,12.960833333333335,0.0,0.5,0.5
16.22,20.605833333333333,0.5,0.0,1.0
17.97,21.113333333333333,0.0,0.5,0.5
18.52,21.128333333333334,0.0,0.5,0.0
20.03,56.45333333333334,0.5,0.0,0.5
20.23,37.56666666666666,0.5,0.0,1.0
20.21,34.01666666666666,0.0,0.5,0.5
18.88,33.064166666666665,0.0,0.0,0.5
18.05,35.689166666666665,0.5,0.0,1.0
18.44,24.998333333333335,0.0,0.0,1.0
18.15,19.52583333333333,0.0,0.0,1.0
19.92,19.34166666666667,0.0,0.0,1.0
23.4,21.847499999999997,0.0,0.0,1.0
24.17,18.231666666666666,0.0,0.5,0.5
22.53,19.18166666666667,0.0,0.5,0.0
18.94,16.318333333333335,0.0,0.0,0.0
17.68,16.43666666666667,0.0,0.0,0.0
15.66,20.298333333333336,0.5,0.0,0.5
13.86,15.090833333333336,0.0,0.5,0.0
12.11,19.915833333333335,0.5,0.0,0.5
11.81,18.719166666666666,0.0,0.0,0.5
11.1,19.819999999999997,0.5,0.0,1.0
10.47,11.365,0.0,0.5,0.5
10.43,9.714166666666669,0.0,0.5,0.0
10.44,18.38083333333333,0.5,0.0,0.5
11.26,16.0675,0.5,0.0,1.0
11.69,10.783333333333333,0.0,0.0,1.0
12.18,2.213333333333334,0.0,0.5,0.5
14.85,8.726666666666668,0.0,0.5,0.0
15.74,11.341666666666663,0.0,0.0,0.0
15.82,17.443333333333335,0.0,0.0,0.0
15.73,18.634166666666665,0.5,0.0,0.5
15.11,18.153333333333336,0.5,0.0,1.0
15.05,12.046666666666669,0.0,0.5,0.5
15.73,9.680833333333334,0.0,0.5,0.0
19.15,16.694166666666664,0.5,0.0,0.5
26.68,24.486666666666665,0.5,0.0,1.0
26.71,23.226666666666663,0.0,0.5,0.5
27.71,17.443333333333335,0.0,0.5,0.0
24.23,18.521666666666665,0.0,0.0,0.0
20.18,37.73666666666667,0.5,0.0,0.5
18.63,23.022499999999997,0.5,0.0,1.0
17.88,20.09,0.0,0.0,1.0
18.35,19.794166666666666,0.0,0.0,1.0
17.5,18.245833333333334,0.0,0.0,1.0
16.46,14.685833333333333,0.0,0.5,0.5
16.24,15.225000000000003,0.0,0.5,0.0
17.21,18.784166666666668,0.5,0.0,0.5
18.96,22.14833333333333,0.5,0.0,1.0
29.41,27.862500000000008,0.0,0.5,0.5
32.32,36.71333333333333,0.5,0.0,1.0
33.47,28.25666666666667,0.0,0.5,0.5
33.13,29.183333333333334,0.0,0.5,0.0
31.77,28.41333333333333,0.0,0.0,0.0
29.4,26.101666666666663,0.0,0.0,0.0
26.32,33.197499999999984,0.5,0.0,0.5
23.98,25.186666666666667,0.0,0.5,0.0
23.07,26.9475,0.5,0.0,0.5
20.89,22.44666666666667,0.5,0.0,1.0
27.25,19.837500000000002,0.0,0.0,1.0
39.56,26.47583333333333,0.0,0.5,0.5
35.26,27.532499999999995,0.0,0.0,0.5
28.26,28.426666666666666,0.0,0.5,0.0
21.52,59.412499999999994,0.5,0.0,0.5
18.38,24.0525,0.0,0.5,0.0
15.59,22.944166666666664,0.5,0.0,0.5
13.62,20.93916666666667,0.5,0.0,1.0
12.68,11.318333333333333,0.0,0.5,0.5
12.36,4.620833333333333,0.0,0.5,0.0
12.1,18.546666666666667,0.5,0.0,0.5
12.01,20.749166666666664,0.5,0.0,1.0
12.28,16.064166666666665,0.0,0.0,1.0
12.69,3.4091666666666662,0.0,0.0,1.0
20.62,10.149166666666666,0.0,0.0,1.0
37.18,20.818055555555556,0.0,0.0,1.0
43.79,24.395,0.0,0.0,1.0
47.0,21.6075,0.0,0.5,0.5
47.0,23.17916666666667,0.0,0.5,0.0
45.14,29.203333333333333,0.5,0.0,0.5
42.0,23.36583333333333,0.0,0.5,0.0
39.21,25.515,0.0,0.0,0.0
36.0,23.336666666666662,0.5,0.0,0.5
39.0,39.15416666666667,0.5,0.0,1.0
50.0,36.808749999999996,0.0,0.5,0.5
57.0,83.60916666666667,0.5,0.0,1.0
56.0,33.49,0.0,0.5,0.5
45.0,23.906666666666666,0.0,0.5,0.0
36.91,20.535833333333336,0.0,0.0,0.0
32.0,31.529166666666672,0.0,0.0,0.0
19.77,21.078333333333333,0.0,0.0,0.0
17.66,21.049166666666668,0.5,0.0,0.5
12.57,14.149166666666668,0.0,0.0,0.5
11.98,11.805,0.0,0.5,0.0
11.39,18.0975,0.5,0.0,0.5
11.26,18.921666666666667,0.5,0.0,1.0
11.43,13.951666666666666,0.0,0.0,1.0
13.17,12.5875,0.0,0.5,0.5
18.79,18.606666666666666,0.0,0.0,0.5
23.23,34.12416666666667,0.5,0.0,1.0
22.55,21.386666666666667,0.0,0.0,1.0
27.57,21.16166666666666,0.0,0.0,1.0
31.95,20.8525,0.0,0.0,1.0
30.72,17.99416666666667,0.0,0.5,0.5
29.26,17.375833333333336,0.0,0.5,0.0
20.92,18.095833333333335,0.5,0.0,0.5
20.43,16.668333333333337,0.0,0.5,0.0
19.03,18.759999999999994,0.0,0.0,0.0
23.2,24.020555555555557,0.0,0.0,0.0
53.32,59.30166666666668,0.5,0.0,0.5
45.0,69.12166666666668,0.5,0.0,1.0
40.35,29.986666666666668,0.0,0.5,0.0
31.0,26.305833333333336,0.0,0.0,0.0
20.11,22.110000000000003,0.5,0.0,0.5
16.97,20.1775,0.5,0.0,1.0
18.02,19.613333333333333,0.0,0.0,1.0
14.31,15.471666666666666,0.0,0.0,1.0
12.51,8.674166666666666,0.0,0.5,0.5
12.17,9.166666666666666,0.5,0.0,1.0
12.12,5.815833333333334,0.0,0.0,1.0
12.47,5.3950000000000005,0.0,0.5,0.5
16.45,12.885833333333332,0.5,0.0,1.0
24.0,16.47666666666667,0.0,0.5,0.5
44.71,52.640833333333326,0.5,0.0,1.0
43.76,32.22333333333333,0.0,0.5,0.5
46.7,40.38166666666667,0.5,0.0,1.0
52.14,21.457500000000007,0.0,0.5,0.5
45.0,33.45750000000001,0.0,0.5,0.0
37.96,35.39083333333333,0.5,0.0,0.5
32.77,27.796666666666663,0.0,0.5,0.0
35.0,44.24583333333334,0.5,0.0,0.5
33.19,46.92416666666666,0.5,0.0,1.0
46.0,19.006666666666668,0.0,0.0,1.0
77.11,40.76416666666666,0.0,0.0,1.0
77.11,28.510833333333334,0.0,0.5,0.5
77.11,22.00166666666667,0.0,0.5,0.0
51.07,26.507499999999993,0.5,0.0,0.5
56.0,21.763333333333335,0.0,0.5,0.0
30.0,28.706666666666667,0.5,0.0,0.5
27.0,27.36,0.5,0.0,1.0
22.23,9.120833333333332,0.0,0.5,0.5
20.25,6.746666666666667,0.0,0.5,0.0
19.43,6.403333333333333,0.0,0.0,0.0
19.56,10.976666666666665,0.5,0.0,0.5
21.07,8.924166666666666,0.0,0.0,0.5
26.0,16.106666666666666,0.5,0.0,1.0
48.2,23.017500000000002,0.0,0.5,0.5
63.51,44.260833333333345,0.5,0.0,1.0
59.93,38.35249999999999,0.0,0.0,1.0
56.93,33.475833333333334,0.0,0.5,0.5
70.0,27.898333333333337,0.0,0.5,0.0
52.49,62.07666666666666,0.5,0.0,0.5
38.12,47.32833333333334,0.0,0.0,0.5
38.45,43.67666666666668,0.0,0.5,0.0
36.0,78.08916666666666,0.5,0.0,0.5
40.0,93.70500000000003,0.5,0.0,1.0
44.0,76.02000000000001,0.0,0.0,1.0
88.02,112.8625,0.0,0.0,1.0
82.77,101.77583333333332,0.0,0.0,1.0
77.37,110.69583333333337,0.0,0.0,0.5
48.15,99.35583333333334,0.5,0.0,1.0
40.0,71.53333333333333,0.0,0.0,1.0
33.79,26.65416666666667,0.0,0.5,0.5
30.0,25.39833333333333,0.0,0.5,0.0
24.98,27.320833333333336,0.0,0.0,0.0
22.9,36.012499999999996,0.5,0.0,0.5
21.0,23.799999999999997,0.5,0.0,1.0
19.24,21.974166666666665,0.0,0.0,1.0
20.98,16.535833333333333,0.0,0.5,0.5
23.9,21.755,0.0,0.5,0.0
27.01,28.57416666666666,0.0,0.0,0.0
24.36,29.569999999999997,0.5,0.0,0.5
30.1,30.50166666666667,0.0,0.5,0.0
31.29,67.50527777777778,0.0,0.0,0.0
31.35,125.17222222222222,0.5,0.0,0.5
35.0,115.0125,0.0,0.0,0.5
30.33,161.23875,0.5,0.0,1.0
27.53,83.19416666666665,0.0,0.5,0.5
27.5,123.205,0.5,0.0,1.0
27.41,48.43166666666667,0.0,0.0,1.0
30.86,36.58583333333333,0.0,0.0,1.0
36.13,26.758333333333336,0.0,0.5,0.5
35.28,97.64583333333331,0.5,0.0,1.0
31.9,39.90583333333333,0.0,0.5,0.0
30.32,63.464999999999996,0.0,0.0,0.0
28.81,91.56416666666667,0.5,0.0,0.5
25.8,82.07458333333334,0.5,0.0,1.0
24.17,23.971666666666664,0.0,0.5,0.5
23.99,27.99416666666666,0.0,0.5,0.0
21.03,28.68416666666667,0.5,0.0,0.5
20.92,25.4075,0.5,0.0,1.0
20.24,17.73416666666667,0.0,0.5,0.5
20.48,15.550833333333335,0.0,0.5,0.0
20.3,27.037500000000005,0.5,0.0,0.5
21.95,26.985833333333332,0.5,0.0,1.0
22.27,25.324166666666667,0.0,0.0,1.0
27.29,20.741666666666664,0.0,0.5,0.5
29.09,27.054166666666664,0.5,0.0,1.0
29.85,26.924166666666665,0.0,0.5,0.5
28.76,26.455833333333334,0.0,0.5,0.0
25.85,28.468333333333334,0.0,0.0,0.0
25.33,54.8475,0.5,0.0,0.5
23.58,41.538333333333334,0.5,0.0,1.0
24.07,30.315833333333334,0.0,0.0,1.0
31.56,32.01333333333333,0.0,0.0,1.0
39.61,32.80833333333334,0.0,0.0,1.0
38.22,30.698333333333334,0.0,0.5,0.5
35.07,34.7625,0.0,0.5,0.0
31.16,33.374166666666675,0.0,0.0,0.0
28.82,33.309999999999995,0.5,0.0,0.5
24.05,37.90138888888889,0.5,0.0,1.0
23.47,26.986666666666665,0.0,0.0,1.0
24.1,26.445000000000004,0.0,0.0,1.0
22.38,24.535,0.0,0.0,1.0
21.29,23.224999999999998,0.0,0.5,0.5
24.0,30.462499999999995,0.5,0.0,1.0
28.32,30.264166666666664,0.0,0.0,1.0
30.88,31.813888888888886,0.0,0.5,0.5
46.16,36.89083333333334,0.0,0.5,0.0
63.1,67.50333333333333,0.5,0.0,0.5
64.11,42.32916666666666,0.0,0.5,0.0
74.78,164.12305555555557,0.5,0.0,0.5
70.0,89.61916666666667,0.0,0.5,0.0
54.73,97.38250000000001,0.5,0.0,0.5
53.02,83.455,0.0,0.5,0.0
45.0,201.26500000000001,0.5,0.0,0.5
45.0,159.3858333333333,0.5,0.0,1.0
45.0,58.892500000000005,0.0,0.5,0.5
37.08,82.13000000000001,0.5,0.0,1.0
48.19,89.33833333333332,0.0,0.0,1.0
45.76,83.83,0.0,0.0,1.0
41.0,65.83333333333334,0.5,0.0,1.0
34.82,51.84000000000001,0.0,0.0,1.0
31.53,30.636666666666667,0.0,0.5,0.5
25.82,28.76,0.0,0.0,0.5
25.39,22.253333333333334,0.0,0.5,0.0
26.21,50.62416666666667,0.5,0.0,0.5
23.65,30.155,0.5,0.0,1.0
