Time Stamp,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),Name
2019-01-01 00:00:00+00:00,61762.0,51.9,2.95,-28.31,LONGIL
2019-01-01 01:00:00+00:00,61762.0,42.59,2.83,-20.0,LONGIL
2019-01-01 02:00:00+00:00,61762.0,37.05,2.73,-14.94,LONGIL
2019-01-01 03:00:00+00:00,61762.0,30.18,2.34,-11.09,LONGIL
2019-01-01 04:00:00+00:00,61762.0,29.62,2.28,-10.66,LONGIL
2019-01-01 05:00:00+00:00,61762.0,26.93,1.19,-15.41,LONGIL
2019-01-01 06:00:00+00:00,61762.0,23.8,1.13,-12.35,LONGIL
2019-01-01 07:00:00+00:00,61762.0,18.68,1.09,-8.06,LONGIL
2019-01-01 08:00:00+00:00,61762.0,18.48,1.06,-7.88,LONGIL
2019-01-01 09:00:00+00:00,61762.0,18.75,1.08,-8.23,LONGIL
2019-01-01 10:00:00+00:00,61762.0,18.87,1.05,-8.43,LONGIL
2019-01-01 11:00:00+00:00,61762.0,21.34,1.19,-9.78,LONGIL
2019-01-01 12:00:00+00:00,61762.0,21.2,1.2,-9.45,LONGIL
2019-01-01 13:00:00+00:00,61762.0,24.65,1.47,-9.84,LONGIL
2019-01-01 14:00:00+00:00,61762.0,26.45,2.01,-7.58,LONGIL
2019-01-01 15:00:00+00:00,61762.0,28.32,2.16,-9.41,LONGIL
2019-01-01 16:00:00+00:00,61762.0,28.53,2.33,-7.97,LONGIL
2019-01-01 17:00:00+00:00,61762.0,27.93,2.19,-8.79,LONGIL
2019-01-01 18:00:00+00:00,61762.0,27.6,2.09,-9.03,LONGIL
2019-01-01 19:00:00+00:00,61762.0,29.0,2.16,-10.25,LONGIL
2019-01-01 20:00:00+00:00,61762.0,29.72,2.29,-10.6,LONGIL
2019-01-01 21:00:00+00:00,61762.0,38.91,2.79,-16.88,LONGIL
2019-01-01 22:00:00+00:00,61762.0,47.54,3.57,-20.16,LONGIL
2019-01-01 23:00:00+00:00,61762.0,49.67,3.79,-20.63,LONGIL
2019-01-02 00:00:00+00:00,61762.0,42.38,3.78,-12.9,LONGIL
2019-01-02 01:00:00+00:00,61762.0,38.24,3.58,-10.47,LONGIL
2019-01-02 02:00:00+00:00,61762.0,35.7,3.28,-10.4,LONGIL
2019-01-02 03:00:00+00:00,61762.0,29.13,2.3,-9.26,LONGIL
2019-01-02 04:00:00+00:00,61762.0,26.95,2.28,-6.47,LONGIL
2019-01-02 05:00:00+00:00,61762.0,25.96,2.71,-1.56,LONGIL
2019-01-02 06:00:00+00:00,61762.0,23.0,2.41,-0.11,LONGIL
2019-01-02 07:00:00+00:00,61762.0,22.13,2.29,-0.1,LONGIL
2019-01-02 08:00:00+00:00,61762.0,21.71,2.21,-0.1,LONGIL
2019-01-02 09:00:00+00:00,61762.0,22.22,2.37,-0.25,LONGIL
2019-01-02 10:00:00+00:00,61762.0,26.92,2.78,-1.87,LONGIL
2019-01-02 11:00:00+00:00,61762.0,35.66,3.84,-2.23,LONGIL
2019-01-02 12:00:00+00:00,61762.0,39.61,4.44,-5.14,LONGIL
2019-01-02 13:00:00+00:00,61762.0,39.0,4.74,-2.43,LONGIL
2019-01-02 14:00:00+00:00,61762.0,38.4,4.67,-2.15,LONGIL
2019-01-02 15:00:00+00:00,61762.0,39.52,4.37,-4.81,LONGIL
2019-01-02 16:00:00+00:00,61762.0,38.85,4.18,-5.03,LONGIL
2019-01-02 17:00:00+00:00,61762.0,38.14,4.2,-5.76,LONGIL
2019-01-02 18:00:00+00:00,61762.0,37.05,3.85,-5.67,LONGIL
2019-01-02 19:00:00+00:00,61762.0,37.24,3.86,-6.39,LONGIL
2019-01-02 20:00:00+00:00,61762.0,39.73,4.08,-8.62,LONGIL
2019-01-02 21:00:00+00:00,61762.0,50.01,5.12,-10.97,LONGIL
2019-01-02 22:00:00+00:00,61762.0,61.59,6.34,-8.64,LONGIL
2019-01-02 23:00:00+00:00,61762.0,54.34,5.91,-5.62,LONGIL
2019-01-03 00:00:00+00:00,61762.0,52.07,5.34,-10.63,LONGIL
2019-01-03 01:00:00+00:00,61762.0,44.9,4.49,-9.46,LONGIL
2019-01-03 02:00:00+00:00,61762.0,41.93,3.87,-10.99,LONGIL
2019-01-03 03:00:00+00:00,61762.0,34.27,2.58,-12.43,LONGIL
2019-01-03 04:00:00+00:00,61762.0,31.97,2.81,-8.63,LONGIL
2019-01-03 05:00:00+00:00,61762.0,30.2,2.15,-11.27,LONGIL
