Time Stamp,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),Name
2019-01-01 00:00:00+00:00,61755.0,19.63,-1.01,0.0,NORTH
2019-01-01 01:00:00+00:00,61755.0,18.81,-0.95,0.0,NORTH
2019-01-01 02:00:00+00:00,61755.0,18.49,-0.89,0.0,NORTH
2019-01-01 03:00:00+00:00,61755.0,16.09,-0.65,0.0,NORTH
2019-01-01 04:00:00+00:00,61755.0,16.01,-0.67,0.0,NORTH
2019-01-01 05:00:00+00:00,61755.0,9.93,-0.4,0.0,NORTH
2019-01-01 06:00:00+00:00,61755.0,9.95,-0.37,0.0,NORTH
2019-01-01 07:00:00+00:00,61755.0,9.19,-0.34,0.0,NORTH
2019-01-01 08:00:00+00:00,61755.0,9.23,-0.31,0.0,NORTH
2019-01-01 09:00:00+00:00,61755.0,9.11,-0.32,0.0,NORTH
2019-01-01 10:00:00+00:00,61755.0,9.05,-0.34,0.0,NORTH
2019-01-01 11:00:00+00:00,61755.0,9.92,-0.43,0.0,NORTH
2019-01-01 12:00:00+00:00,61755.0,10.01,-0.54,0.0,NORTH
2019-01-01 13:00:00+00:00,61755.0,12.58,-0.76,0.0,NORTH
2019-01-01 14:00:00+00:00,61755.0,15.91,-0.96,0.0,NORTH
2019-01-01 15:00:00+00:00,61755.0,15.86,-0.89,0.0,NORTH
2019-01-01 16:00:00+00:00,61755.0,17.13,-1.09,0.0,NORTH
2019-01-01 17:00:00+00:00,61755.0,16.05,-0.9,0.0,NORTH
2019-01-01 18:00:00+00:00,61755.0,15.64,-0.84,0.0,NORTH
2019-01-01 19:00:00+00:00,61755.0,15.78,-0.81,0.0,NORTH
2019-01-01 20:00:00+00:00,61755.0,15.96,-0.88,0.0,NORTH
2019-01-01 21:00:00+00:00,61755.0,18.2,-1.04,0.0,NORTH
2019-01-01 22:00:00+00:00,61755.0,22.24,-1.57,0.0,NORTH
2019-01-01 23:00:00+00:00,61755.0,23.71,-1.54,0.0,NORTH
2019-01-02 00:00:00+00:00,61755.0,24.23,-1.46,0.0,NORTH
2019-01-02 01:00:00+00:00,61755.0,22.82,-1.38,0.0,NORTH
2019-01-02 02:00:00+00:00,61755.0,20.81,-1.21,0.0,NORTH
2019-01-02 03:00:00+00:00,61755.0,16.71,-0.86,0.0,NORTH
2019-01-02 04:00:00+00:00,61755.0,17.29,-0.91,0.0,NORTH
2019-01-02 05:00:00+00:00,61755.0,20.58,-1.1,0.0,NORTH
2019-01-02 06:00:00+00:00,61755.0,19.45,-1.02,0.0,NORTH
2019-01-02 07:00:00+00:00,61755.0,18.77,-0.97,0.0,NORTH
2019-01-02 08:00:00+00:00,61755.0,18.54,-0.85,0.0,NORTH
2019-01-02 09:00:00+00:00,61755.0,18.72,-0.88,0.0,NORTH
2019-01-02 10:00:00+00:00,61755.0,21.22,-1.05,0.0,NORTH
2019-01-02 11:00:00+00:00,61755.0,28.34,-1.24,0.0,NORTH
2019-01-02 12:00:00+00:00,61755.0,28.58,-1.44,0.0,NORTH
2019-01-02 13:00:00+00:00,61755.0,30.33,-1.5,0.0,NORTH
2019-01-02 14:00:00+00:00,61755.0,30.32,-1.26,0.0,NORTH
2019-01-02 15:00:00+00:00,61755.0,29.19,-1.15,0.0,NORTH
2019-01-02 16:00:00+00:00,61755.0,28.45,-1.19,0.0,NORTH
2019-01-02 17:00:00+00:00,61755.0,26.97,-1.21,0.0,NORTH
2019-01-02 18:00:00+00:00,61755.0,26.4,-1.13,0.0,NORTH
2019-01-02 19:00:00+00:00,61755.0,25.93,-1.05,0.0,NORTH
2019-01-02 20:00:00+00:00,61755.0,25.98,-1.05,0.0,NORTH
2019-01-02 21:00:00+00:00,61755.0,32.6,-1.32,0.0,NORTH
2019-01-02 22:00:00+00:00,61755.0,44.93,-1.68,0.0,NORTH
2019-01-02 23:00:00+00:00,61755.0,41.4,-1.41,0.0,NORTH
2019-01-03 00:00:00+00:00,61755.0,34.73,-1.37,0.0,NORTH
2019-01-03 01:00:00+00:00,61755.0,29.72,-1.24,0.0,NORTH
2019-01-03 02:00:00+00:00,61755.0,25.93,-1.14,0.0,NORTH
2019-01-03 03:00:00+00:00,61755.0,18.24,-1.02,0.0,NORTH
2019-01-03 04:00:00+00:00,61755.0,19.51,-1.03,0.0,NORTH
2019-01-03 05:00:00+00:00,61755.0,16.14,-0.64,0.0,NORTH
2019-01-03 06:00:00+00:00,61755.0,15.73,-0.55,0.0,NORTH
2019-01-03 07:00:00+00:00,61755.0,15.08,-0.53,0.0,NORTH
2019-01-03 08:00:00+00:00,61755.0,15.06,-0.55,0.0,NORTH
2019-01-03 09:00:00+00:00,61755.0,16.16,-0.62,0.0,NORTH
2019-01-03 10:00:00+00:00,61755.0,16.14,-0.71,0.0,NORTH
2019-01-03 11:00:00+00:00,61755.0,26.95,-1.33,0.0,NORTH
2019-01-03 12:00:00+00:00,61755.0,29.11,-1.44,0.0,NORTH
2019-01-03 13:00:00+00:00,61755.0,29.9,-1.44,0.0,NORTH
2019-01-03 14:00:00+00:00,61755.0,29.61,-1.39,0.0,NORTH
2019-01-03 15:00:00+00:00,61755.0,27.67,-1.33,0.0,NORTH
2019-01-03 16:00:00+00:00,61755.0,27.37,-1.44,0.0,NORTH
2019-01-03 17:00:00+00:00,61755.0,24.87,-1.39,0.0,NORTH
2019-01-03 18:00:00+00:00,61755.0,22.26,-1.22,0.0,NORTH
2019-01-03 19:00:00+00:00,61755.0,20.88,-1.1,0.0,NORTH
2019-01-03 20:00:00+00:00,61755.0,22.33,-1.23,0.0,NORTH
2019-01-03 21:00:00+00:00,61755.0,30.81,-1.22,0.0,NORTH
2019-01-03 22:00:00+00:00,61755.0,41.92,-1.79,0.0,NORTH
2019-01-03 23:00:00+00:00,61755.0,30.1,-1.72,0.0,NORTH
2019-01-04 00:00:00+00:00,61755.0,27.73,-1.61,0.0,NORTH
2019-01-04 01:00:00+00:00,61755.0,25.54,-1.49,0.0,NORTH
2019-01-04 02:00:00+00:00,61755.0,21.48,-1.62,2.98,NORTH
2019-01-04 03:00:00+00:00,61755.0,13.0,-1.35,6.7,NORTH
2019-01-04 04:00:00+00:00,61755.0,16.09,-1.1,0.0,NORTH
2019-01-04 05:00:00+00:00,61755.0,11.81,-0.62,0.0,NORTH
2019-01-04 06:00:00+00:00,61755.0,9.91,-0.49,0.0,NORTH
2019-01-04 07:00:00+00:00,61755.0,9.89,-0.5,0.0,NORTH
2019-01-04 08:00:00+00:00,61755.0,9.88,-0.49,0.0,NORTH
2019-01-04 09:00:00+00:00,61755.0,9.85,-0.55,0.0,NORTH
2019-01-04 10:00:00+00:00,61755.0,9.83,-0.61,0.0,NORTH
2019-01-04 11:00:00+00:00,61755.0,11.94,-1.32,5.84,NORTH
2019-01-04 12:00:00+00:00,61755.0,11.91,-1.52,8.27,NORTH
2019-01-04 13:00:00+00:00,61755.0,13.08,-1.34,5.51,NORTH
2019-01-04 14:00:00+00:00,61755.0,13.15,-1.54,8.26,NORTH
2019-01-04 15:00:00+00:00,61755.0,12.78,-1.41,6.92,NORTH
2019-01-04 16:00:00+00:00,61755.0,11.83,-1.51,8.91,NORTH
2019-01-04 17:00:00+00:00,61755.0,11.98,-1.36,7.32,NORTH
2019-01-04 18:00:00+00:00,61755.0,13.0,-1.29,5.27,NORTH
2019-01-04 19:00:00+00:00,61755.0,15.92,-1.22,1.9,NORTH
2019-01-04 20:00:00+00:00,61755.0,16.12,-1.2,1.41,NORTH
2019-01-04 21:00:00+00:00,61755.0,18.59,-1.51,4.3,NORTH
2019-01-04 22:00:00+00:00,61755.0,18.63,-1.83,10.05,NORTH
2019-01-04 23:00:00+00:00,61755.0,26.76,-1.95,0.0,NORTH
2019-01-05 00:00:00+00:00,61755.0,25.4,-1.77,0.0,NORTH
2019-01-05 01:00:00+00:00,61755.0,21.21,-1.45,0.0,NORTH
2019-01-05 02:00:00+00:00,61755.0,20.29,-1.34,0.0,NORTH
2019-01-05 03:00:00+00:00,61755.0,17.12,-1.03,0.0,NORTH
2019-01-05 04:00:00+00:00,61755.0,16.69,-0.99,0.0,NORTH
2019-01-05 05:00:00+00:00,61755.0,16.09,-0.74,0.0,NORTH
2019-01-05 06:00:00+00:00,61755.0,14.64,-0.67,0.0,NORTH
2019-01-05 07:00:00+00:00,61755.0,13.73,-0.62,0.0,NORTH
2019-01-05 08:00:00+00:00,61755.0,12.66,-0.57,0.0,NORTH
2019-01-05 09:00:00+00:00,61755.0,14.0,-0.64,0.0,NORTH
