Time Stamp,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),Name
2019-01-01 00:00:00+00:00,61761.0,34.69,2.25,-11.8,N.Y.C.
2019-01-01 01:00:00+00:00,61761.0,29.35,2.21,-7.38,N.Y.C.
2019-01-01 02:00:00+00:00,61761.0,26.84,2.13,-5.33,N.Y.C.
2019-01-01 03:00:00+00:00,61761.0,26.06,1.74,-7.58,N.Y.C.
2019-01-01 04:00:00+00:00,61761.0,25.2,1.72,-6.81,N.Y.C.
2019-01-01 05:00:00+00:00,61761.0,25.57,1.06,-14.17,N.Y.C.
2019-01-01 06:00:00+00:00,61761.0,22.2,1.02,-10.86,N.Y.C.
2019-01-01 07:00:00+00:00,61761.0,18.5,0.91,-8.06,N.Y.C.
2019-01-01 08:00:00+00:00,61761.0,18.32,0.9,-7.88,N.Y.C.
2019-01-01 09:00:00+00:00,61761.0,18.56,0.9,-8.23,N.Y.C.
2019-01-01 10:00:00+00:00,61761.0,18.7,0.88,-8.43,N.Y.C.
2019-01-01 11:00:00+00:00,61761.0,21.14,0.99,-9.78,N.Y.C.
2019-01-01 12:00:00+00:00,61761.0,21.2,1.1,-9.55,N.Y.C.
2019-01-01 13:00:00+00:00,61761.0,23.19,1.43,-8.42,N.Y.C.
2019-01-01 14:00:00+00:00,61761.0,24.99,1.82,-6.3,N.Y.C.
2019-01-01 15:00:00+00:00,61761.0,26.48,1.79,-7.94,N.Y.C.
2019-01-01 16:00:00+00:00,61761.0,26.49,1.97,-6.29,N.Y.C.
2019-01-01 17:00:00+00:00,61761.0,25.83,1.81,-7.06,N.Y.C.
2019-01-01 18:00:00+00:00,61761.0,25.54,1.78,-7.28,N.Y.C.
2019-01-01 19:00:00+00:00,61761.0,27.38,1.79,-9.0,N.Y.C.
2019-01-01 20:00:00+00:00,61761.0,27.83,1.85,-9.15,N.Y.C.
2019-01-01 21:00:00+00:00,61761.0,31.34,2.15,-9.95,N.Y.C.
2019-01-01 22:00:00+00:00,61761.0,36.29,2.57,-9.91,N.Y.C.
2019-01-01 23:00:00+00:00,61761.0,33.93,2.73,-5.95,N.Y.C.
2019-01-02 00:00:00+00:00,61761.0,33.6,2.9,-4.99,N.Y.C.
2019-01-02 01:00:00+00:00,61761.0,32.41,2.73,-5.48,N.Y.C.
2019-01-02 02:00:00+00:00,61761.0,29.38,2.51,-4.85,N.Y.C.
2019-01-02 03:00:00+00:00,61761.0,27.11,1.92,-7.63,N.Y.C.
2019-01-02 04:00:00+00:00,61761.0,25.03,1.95,-4.88,N.Y.C.
2019-01-02 05:00:00+00:00,61761.0,25.29,2.06,-1.55,N.Y.C.
2019-01-02 06:00:00+00:00,61761.0,22.53,1.95,-0.11,N.Y.C.
2019-01-02 07:00:00+00:00,61761.0,21.67,1.84,-0.1,N.Y.C.
2019-01-02 08:00:00+00:00,61761.0,21.27,1.78,-0.1,N.Y.C.
2019-01-02 09:00:00+00:00,61761.0,21.69,1.84,-0.25,N.Y.C.
2019-01-02 10:00:00+00:00,61761.0,26.11,1.98,-1.86,N.Y.C.
2019-01-02 11:00:00+00:00,61761.0,32.19,2.51,-0.1,N.Y.C.
2019-01-02 12:00:00+00:00,61761.0,35.07,3.09,-1.96,N.Y.C.
2019-01-02 13:00:00+00:00,61761.0,35.65,3.41,-0.42,N.Y.C.
2019-01-02 14:00:00+00:00,61761.0,34.99,3.41,0.0,N.Y.C.
2019-01-02 15:00:00+00:00,61761.0,33.77,3.43,0.0,N.Y.C.
2019-01-02 16:00:00+00:00,61761.0,32.93,3.29,0.0,N.Y.C.
2019-01-02 17:00:00+00:00,61761.0,31.59,3.3,-0.12,N.Y.C.
2019-01-02 18:00:00+00:00,61761.0,30.8,3.16,-0.1,N.Y.C.
2019-01-02 19:00:00+00:00,61761.0,31.02,3.16,-0.88,N.Y.C.
2019-01-02 20:00:00+00:00,61761.0,32.31,3.22,-2.07,N.Y.C.
2019-01-02 21:00:00+00:00,61761.0,40.13,3.97,-2.23,N.Y.C.
2019-01-02 22:00:00+00:00,61761.0,51.31,4.71,0.0,N.Y.C.
2019-01-02 23:00:00+00:00,61761.0,47.23,4.41,0.0,N.Y.C.
2019-01-03 00:00:00+00:00,61761.0,42.45,4.15,-2.21,N.Y.C.
2019-01-03 01:00:00+00:00,61761.0,36.69,3.47,-2.26,N.Y.C.
2019-01-03 02:00:00+00:00,61761.0,33.52,2.98,-3.47,N.Y.C.
2019-01-03 03:00:00+00:00,61761.0,30.41,2.02,-9.13,N.Y.C.
2019-01-03 04:00:00+00:00,61761.0,28.0,2.07,-5.39,N.Y.C.
2019-01-03 05:00:00+00:00,61761.0,26.44,1.53,-8.13,N.Y.C.
2019-01-03 06:00:00+00:00,61761.0,24.11,1.45,-6.38,N.Y.C.
2019-01-03 07:00:00+00:00,61761.0,22.78,1.34,-5.83,N.Y.C.
2019-01-03 08:00:00+00:00,61761.0,22.14,1.34,-5.19,N.Y.C.
2019-01-03 09:00:00+00:00,61761.0,23.16,1.46,-4.92,N.Y.C.
2019-01-03 10:00:00+00:00,61761.0,25.33,1.53,-6.94,N.Y.C.
2019-01-03 11:00:00+00:00,61761.0,31.13,2.85,0.0,N.Y.C.
2019-01-03 12:00:00+00:00,61761.0,34.32,3.3,-0.48,N.Y.C.
2019-01-03 13:00:00+00:00,61761.0,35.41,3.57,-0.5,N.Y.C.
2019-01-03 14:00:00+00:00,61761.0,34.66,3.66,0.0,N.Y.C.
2019-01-03 15:00:00+00:00,61761.0,33.94,3.54,-1.4,N.Y.C.
2019-01-03 16:00:00+00:00,61761.0,32.86,3.57,-0.48,N.Y.C.
2019-01-03 17:00:00+00:00,61761.0,30.83,3.26,-1.32,N.Y.C.
2019-01-03 18:00:00+00:00,61761.0,30.04,2.98,-3.57,N.Y.C.
2019-01-03 19:00:00+00:00,61761.0,29.6,2.84,-4.79,N.Y.C.
2019-01-03 20:00:00+00:00,61761.0,30.33,3.04,-3.74,N.Y.C.
2019-01-03 21:00:00+00:00,61761.0,37.91,3.74,-2.14,N.Y.C.
2019-01-03 22:00:00+00:00,61761.0,48.61,4.89,0.0,N.Y.C.
2019-01-03 23:00:00+00:00,61761.0,45.77,3.82,-10.13,N.Y.C.
2019-01-04 00:00:00+00:00,61761.0,41.84,3.55,-8.95,N.Y.C.
2019-01-04 01:00:00+00:00,61761.0,36.9,3.24,-6.63,N.Y.C.
2019-01-04 02:00:00+00:00,61761.0,33.53,3.26,-4.19,N.Y.C.
2019-01-04 03:00:00+00:00,61761.0,29.7,2.55,-6.11,N.Y.C.
2019-01-04 04:00:00+00:00,61761.0,26.8,2.13,-7.48,N.Y.C.
2019-01-04 05:00:00+00:00,61761.0,23.8,1.29,-10.07,N.Y.C.
2019-01-04 06:00:00+00:00,61761.0,22.31,1.03,-10.88,N.Y.C.
2019-01-04 07:00:00+00:00,61761.0,21.3,1.0,-9.91,N.Y.C.
2019-01-04 08:00:00+00:00,61761.0,21.24,0.97,-9.9,N.Y.C.
2019-01-04 09:00:00+00:00,61761.0,21.51,1.01,-10.1,N.Y.C.
2019-01-04 10:00:00+00:00,61761.0,23.9,1.05,-12.41,N.Y.C.
2019-01-04 11:00:00+00:00,61761.0,27.69,1.99,-6.61,N.Y.C.
2019-01-04 12:00:00+00:00,61761.0,29.18,2.63,-4.85,N.Y.C.
2019-01-04 13:00:00+00:00,61761.0,30.61,2.43,-8.25,N.Y.C.
2019-01-04 14:00:00+00:00,61761.0,29.55,2.87,-3.74,N.Y.C.
2019-01-04 15:00:00+00:00,61761.0,28.34,2.7,-4.53,N.Y.C.
2019-01-04 16:00:00+00:00,61761.0,27.41,2.83,-2.33,N.Y.C.
2019-01-04 17:00:00+00:00,61761.0,25.48,2.65,-2.17,N.Y.C.
2019-01-04 18:00:00+00:00,61761.0,24.64,2.56,-2.52,N.Y.C.
2019-01-04 19:00:00+00:00,61761.0,24.52,2.46,-3.02,N.Y.C.
2019-01-04 20:00:00+00:00,61761.0,24.22,2.34,-3.15,N.Y.C.
2019-01-04 21:00:00+00:00,61761.0,30.65,3.0,-3.26,N.Y.C.
2019-01-04 22:00:00+00:00,61761.0,38.95,3.69,-4.75,N.Y.C.
2019-01-04 23:00:00+00:00,61761.0,36.52,3.5,-4.31,N.Y.C.
